country,date,confirmed,deaths
Italy,2020-08-20,840,-1
Italy,2020-08-21,947,3
Italy,2020-08-22,1071,-6
Italy,2020-08-23,1209,4
Italy,2020-08-24,953,-3
Italy,2020-08-25,876,0
Italy,2020-08-26,1366,9
Italy,2020-08-27,1409,-8
Italy,2020-08-28,1460,4
Italy,2020-08-29,1444,-8
Italy,2020-08-30,1365,3
Italy,2020-08-31,996,2
Italy,2020-09-01,975,2
Italy,2020-09-02,1326,-2
Italy,2020-09-03,1397,4
Italy,2020-09-04,1732,1
Italy,2020-09-05,1694,5
Italy,2020-09-06,1296,-9
Italy,2020-09-07,1150,5
Italy,2020-09-08,1369,-2
Italy,2020-09-09,1430,4
Italy,2020-09-10,1597,-4
Italy,2020-09-11,1616,0
Italy,2020-09-12,1501,-4
Italy,2020-09-13,1456,1
Italy,2020-09-14,1008,7
Italy,2020-09-15,1229,-5
Italy,2020-09-16,1452,3
Italy,2020-09-17,1583,1
Italy,2020-09-18,1907,-3
Italy,2020-09-19,1637,14
Italy,2020-09-20,1587,-9
Italy,2020-09-21,1350,2
Italy,2020-09-22,1391,-3
Italy,2020-09-23,1640,6
Italy,2020-09-24,1786,3
Italy,2020-09-25,1912,-3
Italy,2020-09-26,1869,-3
Italy,2020-09-27,1766,0
